Image,PSNR (dB),SSIM,Accuracy (%),RMSE
20485.jpg,29.07,0.7573,93.39,8.97
205.jpg,24.73,0.6635,74.77,14.8
20500.jpg,27.91,0.773,89.35,10.25
20515.jpg,28.27,0.7657,90.35,9.84
20521.jpg,21.94,0.5922,67.39,20.39
20522.jpg,25.42,0.6124,81.18,13.66
20529.jpg,25.0,0.7529,82.06,14.34
20539.jpg,26.07,0.6395,79.01,12.68
2054.jpg,25.98,0.6419,80.09,12.81
20554.jpg,28.88,0.8029,93.5,9.18
20561.jpg,23.98,0.7325,86.55,16.12
20563.jpg,27.64,0.7292,90.27,10.59
20567.jpg,25.07,0.7087,80.98,14.23
20571.jpg,26.81,0.695,86.18,11.64
20574.jpg,24.41,0.7444,80.21,15.34
20584.jpg,23.17,0.5968,74.66,17.7
20587.jpg,28.98,0.8291,92.01,9.07
20588.jpg,24.83,0.6607,77.38,14.62
20589.jpg,26.5,0.7519,85.65,12.07
20592.jpg,28.54,0.7768,91.04,9.54
2060.jpg,25.68,0.6823,79.89,13.27
20602.jpg,29.4,0.7054,94.83,8.64
20605.jpg,27.56,0.7283,88.7,10.67
20606.jpg,25.48,0.7438,82.2,13.56
20611.jpg,25.78,0.7236,81.89,13.1
20632.jpg,24.38,0.6479,75.17,15.4
20640.jpg,25.94,0.6752,81.13,12.87
20643.jpg,27.27,0.7549,87.85,11.04
20644.jpg,25.28,0.6615,79.6,13.88
20645.jpg,28.17,0.8244,93.0,9.95
20654.jpg,27.64,0.8021,91.71,10.58
20662.jpg,28.74,0.8282,91.28,9.32
20665.jpg,25.18,0.617,87.91,14.05
20675.jpg,26.03,0.8074,86.26,12.74
20678.jpg,26.08,0.742,86.97,12.66
20679.jpg,26.72,0.7914,87.34,11.76
20682.jpg,26.3,0.7024,83.73,12.35
20688.jpg,27.28,0.7966,87.66,11.03
20691.jpg,29.6,0.8467,93.91,8.45
20711.jpg,26.47,0.6761,84.86,12.11
20722.jpg,27.03,0.811,91.52,11.35
